q,tau_mean,tau_typ,Dq_mean,Dq_typ,alpha_mean,alpha_typ,falpha_mean,falpha_typ
0.5,-0.40560962497141634,-0.4075441825967097,0.8112192499428327,0.8150883651934194,0.880322814952902,0.8877166565867818,0.8457710324478673,0.8514025108901007
0.75,-0.18552892123319084,-0.18561501845001427,0.7421156849327634,0.7424600738000571,0.8112192499428327,0.8150883651934194,0.7939433586903154,0.7969312923450789
1.0,-0.0,-0.0,,,0.6681907710517829,0.6708589045195188,0.6681907710517829,0.6708589045195188
1.25,0.14856646429270062,0.1498144338097451,0.5942658571708025,0.5992577352389804,0.5342547104478692,0.5478201120370547,0.5192519237671359,0.5349607062365733
1.5,0.2671273552239346,0.27391005601852736,0.5342547104478692,0.5478201120370547,0.4296092135005564,0.4630286979459736,0.3772864650269,0.42063299090043305
1.75,0.36337107104297883,0.3813287827827319,0.48449476139063846,0.5084383770436426,0.35203405328241244,0.40833745135571997,0.25268852220124294,0.33326175708977807
2.0,0.4431443818651408,0.47807878169638734,0.4431443818651408,0.47807878169638734,0.29631883654095287,0.3746488018675934,0.1494932912167649,0.2712188220387995
2.5,0.5685293933879221,0.6530519888431555,0.37901959559194803,0.4353679925621037,0.22041592138653054,0.3366045356775926,-0.01748958992159566,0.18845935035082595
3.0,0.6635603032516714,0.8146833173739799,0.3317801516258357,0.40734165868698996,0.19006181972749858,0.3232626570616488,-0.09337484406917562,0.1551046538109665
